hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)"
18, 600.00000, 0.677168, 0.246242, 2.54272, 0.623683, 5.22055, 1.69265
18, 1200.00000, 0.769874, 0.265058, 2.70897, 0.657838, 5.06865, 1.64737
18, 1800.00000, 0.797898, 0.270791, 2.61503, 0.638746, 4.97787, 1.62031
18, 2400.00000, 1.28963, 0.262117, 3.08449, 0.62541, 5.36055, 1.57751
18, 3000.00000, 1.29283, 0.262728, 3.13472, 0.635834, 5.264, 1.54884
19, 0.00000, 1.27823, 0.259767, 3.23592, 0.655862, 5.75657, 1.69537
19, 600.00000, 1.28467, 0.261059, 3.28243, 0.665345, 5.78636, 1.70426
19, 1200.00000, 1.27635, 0.259309, 3.3908, 0.687463, 5.84796, 1.72266
19, 1800.00000, 1.23742, 0.251268, 3.53426, 0.717066, 5.73213, 1.68835
19, 2400.00000, 1.20758, 0.24526, 3.39878, 0.689237, 5.75322, 1.69462
19, 3000.00000, 1.14908, 0.233397, 3.26352, 0.661533, 5.73351, 1.68883
20, 0.00000, 1.20807, 0.245378, 3.35921, 0.681149, 5.73524, 1.68926
20, 600.00000, 1.15493, 0.234657, 3.21437, 0.651061, 6.01245, 1.77185
20, 1200.00000, 1.13738, 0.231142, 3.0282, 0.613269, 5.79499, 1.70705
20, 1800.00000, 1.07514, 0.21836, 2.93558, 0.595587, 4.83775, 1.42267
20, 2400.00000, 1.04989, 0.213132, 2.99115, 0.607548, 4.41029, 1.29601
20, 3000.00000, 1.04464, 0.212129, 2.89464, 0.587538, 4.5825, 1.347
21, 0.00000, 1.00956, 0.204972, 2.74779, 0.558207, 3.97513, 1.16719
21, 600.00000, 0.990295, 0.201043, 2.65219, 0.539058, 3.60519, 1.05784
21, 1200.00000, 0.979123, 0.198844, 2.46181, 0.500111, 3.54919, 1.04126
21, 1800.00000, 0.907812, 0.184331, 2.41229, 0.490016, 3.50138, 1.02723
21, 2400.00000, 0.868158, 0.176301, 2.33532, 0.4741, 3.6517, 1.07166
21, 3000.00000, 0.828151, 0.168218, 2.19943, 0.446176, 3.78639, 1.11148
22, 0.00000, 0.75444, 0.153253, 2.07765, 0.42124, 3.84503, 1.1289
22, 600.00000, 0.756115, 0.153583, 2.0094, 0.407637, 3.4844, 1.02232
22, 1200.00000, 0.743686, 0.151063, 1.8963, 0.384797, 3.19344, 0.936437
22, 1800.00000, 0.709432, 0.144112, 1.81633, 0.368482, 3.18037, 0.932604
22, 2400.00000, 0.681966, 0.13854, 1.7345, 0.351825, 3.12605, 0.916598
22, 3000.00000, 0.628051, 0.127581, 1.60622, 0.325834, 2.89088, 0.847311
23, 0.00000, 0.583256, 0.118474, 1.48975, 0.302271, 2.61739, 0.766789
23, 600.00000, 0.553982, 0.112524, 1.46797, 0.297809, 2.64946, 0.776254
23, 1200.00000, 0.52836, 0.107308, 1.39892, 0.283914, 2.36352, 0.692128
23, 1800.00000, 0.476786, 0.0968359, 1.30304, 0.264375, 2.35235, 0.688872
23, 2400.00000, 0.450934, 0.0915828, 1.28254, 0.260182, 2.3812, 0.697378
23, 3000.00000, 0.461336, 0.0936838, 1.24211, 0.252176, 1.9698, 0.576441
24, 0.00000, 0.443048, 0.0899821, 1.15277, 0.233969, 1.96866, 0.576106
