hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)"
11, 1200.00000, 6.6694, 1.9452, 0, 0
11, 1800.00000, 5.97434, 1.74254, 0, 0
11, 2400.00000, 5.91206, 1.72435, 0, 0
11, 3000.00000, 5.97983, 1.74412, 0, 0
12, 0.00000, 7.18557, 2.09575, 0, 0
12, 600.00000, 7.24759, 2.11388, 0, 0
12, 1200.00000, 7.19829, 2.0995, 0, 0
12, 1800.00000, 6.12592, 1.78676, 0, 0
12, 2400.00000, 5.15126, 1.50248, 0, 0
12, 3000.00000, 5.2577, 1.53349, 0, 0
13, 0.00000, 5.08869, 1.4842, 0, 0
13, 600.00000, 5.71527, 1.66694, 0, 0
13, 1200.00000, 5.97787, 1.74354, 0, 0
13, 1800.00000, 4.81554, 1.40456, 0, 0
13, 2400.00000, 4.31824, 1.2595, 0, 0
13, 3000.00000, 4.91306, 1.43296, 0, 0
14, 0.00000, 4.73178, 1.38011, 0, 0
14, 600.00000, 4.21876, 1.23048, 0, 0
14, 1200.00000, 4.04926, 1.18104, 0, 0
14, 1800.00000, 4.37256, 1.27532, 0, 0
14, 2400.00000, 4.36623, 1.27348, 0, 0
14, 3000.00000, 4.50342, 1.31349, 0, 0
15, 0.00000, 4.26161, 1.24297, 0, 0
15, 600.00000, 4.20589, 1.22672, 0, 0
15, 1200.00000, 3.7983, 1.10785, 0, 0
15, 1800.00000, 3.84714, 1.12208, 0, 0
15, 2400.00000, 4.00502, 1.16813, 0, 0
15, 3000.00000, 3.55401, 1.03659, 0, 0
16, 0.00000, 3.97182, 1.15844, 0, 0
16, 600.00000, 4.3561, 1.27052, 0, 0
16, 1200.00000, 4.50513, 1.31399, 0, 0
16, 1800.00000, 4.34692, 1.26786, 0, 0
16, 2400.00000, 4.32012, 1.26003, 0, 0
16, 3000.00000, 4.71061, 1.37392, 0, 0
17, 0.00000, 4.91742, 1.43424, 0, 0
17, 600.00000, 4.90309, 1.43007, 0, 0
17, 1200.00000, 5.09176, 1.48509, 0, 0
17, 1800.00000, 4.87407, 1.4216, 0, 0
17, 2400.00000, 4.65224, 1.35691, 0, 0
17, 3000.00000, 5.07375, 1.47983, 0, 0
18, 0.00000, 5.59471, 1.63177, 0, 0
18, 600.00000, 5.72863, 1.67085, 0, 0
18, 1200.00000, 5.57813, 1.62696, 0, 0
18, 1800.00000, 5.48778, 1.6006, 0, 0
18, 2400.00000, 5.34267, 1.55828, 0, 0
18, 3000.00000, 5.24698, 1.53037, 0, 0
19, 0.00000, 5.7359, 1.67296, 0, 0
19, 600.00000, 5.76554, 1.68162, 0, 0
19, 1200.00000, 5.82691, 1.69952, 0, 0
19, 1800.00000, 5.71247, 1.66614, 0, 0
19, 2400.00000, 5.73308, 1.67215, 0, 0
19, 3000.00000, 5.71325, 1.66637, 0, 0
20, 0.00000, 5.71515, 1.66692, 0, 0
20, 600.00000, 5.98968, 1.74698, 0, 0
20, 1200.00000, 5.77361, 1.68397, 0, 0
20, 1800.00000, 4.8236, 1.40691, 0, 0
20, 2400.00000, 4.39911, 1.28308, 0, 0
20, 3000.00000, 4.57005, 1.33292, 0, 0
21, 0.00000, 3.96608, 1.15679, 0, 0
21, 600.00000, 3.59795, 1.04941, 0, 0
21, 1200.00000, 3.54194, 1.03307, 0, 0
21, 1800.00000, 3.49434, 1.01918, 0, 0
21, 2400.00000, 3.64382, 1.06278, 0, 0
21, 3000.00000, 3.77759, 1.10179, 0, 0
22, 0.00000, 3.83577, 1.11876, 0, 0
22, 600.00000, 3.47692, 1.01411, 0, 0
22, 1200.00000, 3.18721, 0.929606, 0, 0
22, 1800.00000, 3.17411, 0.925783, 0, 0
22, 2400.00000, 3.11994, 0.909984, 0, 0
22, 3000.00000, 2.88566, 0.841654, 0, 0
23, 0.00000, 2.61315, 0.762171, 0, 0
23, 600.00000, 2.64509, 0.771483, 0, 0
23, 1200.00000, 2.36012, 0.688371, 0, 0
23, 1800.00000, 2.34891, 0.6851, 0, 0
23, 2400.00000, 2.37766, 0.693483, 0, 0
23, 3000.00000, 1.96749, 0.573856, 0, 0
24, 0.00000, 1.96629, 0.5735, 0, 0
