hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)"
13, 0.00000, 2.97167, 0.603425, 0, 0
13, 600.00000, 3.06769, 0.622927, 0, 0
13, 1200.00000, 3.11615, 0.632763, 0, 0
13, 1800.00000, 3.14703, 0.639021, 0, 0
13, 2400.00000, 2.81043, 0.570683, 0, 0
13, 3000.00000, 2.80857, 0.570309, 0, 0
14, 0.00000, 2.83983, 0.576651, 0, 0
14, 600.00000, 2.60153, 0.528262, 0, 0
14, 1200.00000, 2.47799, 0.503177, 0, 0
14, 1800.00000, 2.56722, 0.521296, 0, 0
14, 2400.00000, 2.43787, 0.495033, 0, 0
14, 3000.00000, 2.39645, 0.486622, 0, 0
15, 0.00000, 2.30995, 0.469055, 0, 0
15, 600.00000, 2.45143, 0.497783, 0, 0
15, 1200.00000, 2.54336, 0.516449, 0, 0
15, 1800.00000, 2.52056, 0.511822, 0, 0
15, 2400.00000, 2.55018, 0.517837, 0, 0
15, 3000.00000, 2.52155, 0.512021, 0, 0
16, 0.00000, 2.48242, 0.504079, 0, 0
16, 600.00000, 2.46558, 0.500661, 0, 0
16, 1200.00000, 2.33114, 0.47336, 0, 0
16, 1800.00000, 2.36526, 0.480284, 0, 0
16, 2400.00000, 2.48645, 0.504892, 0, 0
16, 3000.00000, 2.41349, 0.490083, 0, 0
17, 0.00000, 2.41795, 0.490988, 0, 0
17, 600.00000, 2.69393, 0.547024, 0, 0
17, 1200.00000, 2.62586, 0.533207, 0, 0
17, 1800.00000, 2.60267, 0.528493, 0, 0
17, 2400.00000, 2.73842, 0.556057, 0, 0
17, 3000.00000, 2.75466, 0.55936, 0, 0
18, 0.00000, 2.80209, 0.568992, 0, 0
18, 600.00000, 3.06138, 0.621638, 0, 0
18, 1200.00000, 3.22706, 0.655279, 0, 0
18, 1800.00000, 3.13365, 0.636314, 0, 0
18, 2400.00000, 3.07583, 0.624574, 0, 0
18, 3000.00000, 3.12585, 0.63473, 0, 0
19, 0.00000, 3.22618, 0.655107, 0, 0
19, 600.00000, 3.27242, 0.664493, 0, 0
19, 1200.00000, 3.38013, 0.686364, 0, 0
19, 1800.00000, 3.52276, 0.715324, 0, 0
19, 2400.00000, 3.38801, 0.687967, 0, 0
19, 3000.00000, 3.25343, 0.660639, 0, 0
20, 0.00000, 3.34868, 0.679978, 0, 0
20, 600.00000, 3.20438, 0.650683, 0, 0
20, 1200.00000, 3.01934, 0.613102, 0, 0
20, 1800.00000, 2.92766, 0.594481, 0, 0
20, 2400.00000, 2.98318, 0.605756, 0, 0
20, 3000.00000, 2.88704, 0.58624, 0, 0
21, 0.00000, 2.74116, 0.556615, 0, 0
21, 600.00000, 2.64617, 0.537326, 0, 0
21, 1200.00000, 2.45659, 0.498832, 0, 0
21, 1800.00000, 2.40721, 0.488804, 0, 0
21, 2400.00000, 2.33042, 0.473213, 0, 0
21, 3000.00000, 2.19494, 0.445703, 0, 0
22, 0.00000, 2.0735, 0.421043, 0, 0
22, 600.00000, 2.00564, 0.407262, 0, 0
22, 1200.00000, 1.89301, 0.384392, 0, 0
22, 1800.00000, 1.81327, 0.368201, 0, 0
22, 2400.00000, 1.73168, 0.351633, 0, 0
22, 3000.00000, 1.6038, 0.325665, 0, 0
23, 0.00000, 1.48769, 0.302087, 0, 0
23, 600.00000, 1.46594, 0.297671, 0, 0
23, 1200.00000, 1.39712, 0.283696, 0, 0
23, 1800.00000, 1.30142, 0.264265, 0, 0
23, 2400.00000, 1.28095, 0.260109, 0, 0
23, 3000.00000, 1.24072, 0.251938, 0, 0
24, 0.00000, 1.15155, 0.233832, 0, 0
